,accuracy,f1_score,precision,recall,fpr
test_dataset_1_datetime,0.92626953125,0.5759750390015601,0.746160064672595,0.4690040650406504,0.019071914480077744
test_dataset_1_stale,0.87646484375,0.0,0.0,0.0,0.018768221574344022
test_dataset_1_random_replay,0.8925238715277778,0.23067961165048542,0.48929159802306427,0.15091463414634146,0.01882896015549077
test_dataset_1_unconstrained_newAE,0.8777126736111112,0.020851433536055605,0.0718562874251497,0.012195121951219513,0.01882896015549077
test_dataset_1_constrained_replay_allowed_2,0.9227973090277778,0.5469595670168735,0.73231031543052,0.43648373983739835,0.019071914480077744
test_dataset_1_constrained_replay_allowed_3,0.91455078125,0.47306791569086654,0.692458374142997,0.3592479674796748,0.019071914480077744
test_dataset_1_constrained_replay_allowed_4,0.8776584201388888,0.02338674750974448,0.07917888563049853,0.013719512195121951,0.019071914480077744
test_dataset_1_constrained_replay_allowed_5,0.8776584201388888,0.02338674750974448,0.07917888563049853,0.013719512195121951,0.019071914480077744
test_dataset_1_constrained_replay_allowed_6,0.8777669270833334,0.025097360450021637,0.08454810495626822,0.014735772357723578,0.019071914480077744
test_dataset_1_constrained_replay_allowed_7,0.8779296875,0.025974025974025972,0.08771929824561403,0.01524390243902439,0.018950437317784258
test_dataset_1_constrained_replay_allowed_8,0.8778754340277778,0.025119099177132957,0.08504398826979472,0.014735772357723578,0.018950437317784258
test_dataset_1_constrained_replay_allowed_9,0.8776041666666666,0.020833333333333336,0.07142857142857142,0.012195121951219513,0.018950437317784258
test_dataset_1_constrained_replay_allowed_10,0.8789605034722222,0.0420781451266638,0.13573407202216067,0.024898373983739838,0.018950437317784258
test_dataset_1_constrained_replay_allowed_15,0.8777126736111112,0.022549869904596703,0.07692307692307693,0.013211382113821139,0.018950437317784258
test_dataset_1_constrained_replay_allowed_20,0.8799370659722222,0.05467748825288339,0.17158176943699732,0.032520325203252036,0.018768221574344022
test_dataset_1_constrained_replay_allowed_25,0.8817816840277778,0.08252631578947368,0.24078624078624078,0.049796747967479675,0.018768221574344022
test_dataset_1_constrained_replay_allowed_30,0.8791232638888888,0.04130808950086059,0.1348314606741573,0.024390243902439025,0.01870748299319728
test_dataset_1_constrained_replay_allowed_35,0.8785264756944444,0.03199308257674016,0.1072463768115942,0.018800813008130083,0.01870748299319728
test_dataset_1_constrained_replay_allowed_40,0.8780924479166666,0.025162689804772233,0.08605341246290801,0.014735772357723578,0.01870748299319728
test_dataset_1_constrained_newAE_2,0.8904079861111112,0.2053501180173092,0.4547038327526132,0.1326219512195122,0.019011175898931
test_dataset_1_constrained_newAE_3,0.8902994791666666,0.20393700787401572,0.4527972027972028,0.13160569105691056,0.019011175898931
test_dataset_1_constrained_newAE_4,0.8868815104166666,0.15689446016983422,0.38415841584158417,0.09857723577235772,0.01888969873663751
test_dataset_1_constrained_newAE_5,0.87939453125,0.04796573875802997,0.15258855585831063,0.028455284552845527,0.01888969873663751
test_dataset_1_constrained_newAE_6,0.8791775173611112,0.04461604461604462,0.14325068870523416,0.026422764227642278,0.01888969873663751
test_dataset_1_constrained_newAE_7,0.87939453125,0.04796573875802997,0.15258855585831063,0.028455284552845527,0.01888969873663751
test_dataset_1_constrained_newAE_8,0.8790690104166666,0.04293688278231001,0.13850415512465375,0.02540650406504065,0.01888969873663751
test_dataset_1_constrained_newAE_9,0.88720703125,0.16135538523598225,0.3913894324853229,0.1016260162601626,0.01888969873663751
test_dataset_1_constrained_newAE_10,0.8822157118055556,0.08972746331236897,0.2565947242206235,0.05436991869918699,0.01882896015549077
test_dataset_1_constrained_newAE_15,0.8898654513888888,0.19572107765451666,0.4442446043165468,0.12550813008130082,0.018768221574344022
test_dataset_1_constrained_newAE_20,0.8899739583333334,0.19714964370546317,0.44623655913978494,0.12652439024390244,0.018768221574344022
test_dataset_1_constrained_newAE_25,0.8876410590277778,0.16659959758551307,0.40038684719535783,0.10518292682926829,0.01882896015549077
test_dataset_1_constrained_newAE_30,0.8865559895833334,0.15172413793103448,0.3762575452716298,0.09502032520325203,0.01882896015549077
test_dataset_1_constrained_newAE_35,0.8855251736111112,0.1373671300081766,0.3514644351464435,0.08536585365853659,0.01882896015549077
test_dataset_1_constrained_newAE_40,0.8780381944444444,0.025996533795493933,0.08823529411764706,0.01524390243902439,0.01882896015549077
