,0
1,46408
0,1697
11,33977
10,14128
20,45175
21,2930
30,27745
31,20360
40,48105
50,48041
51,64
61,40177
60,7928
71,48099
70,6
80,48105
91,38734
90,9371
100,48094
101,11
111,34958
110,13147
120,30175
121,11241
122,6689
131,28931
132,9827
130,9347
142,18219
140,15812
141,14074
151,32520
152,8672
150,6913
160,48067
161,38
171,25956
170,14108
172,8041
180,30619
182,9586
181,7900
190,47710
191,198
192,197
200,47710
201,198
202,197
210,43649
212,2357
211,2099
220,46569
222,768
221,768
230,43636
232,2386
231,2083
240,39747
242,7371
241,987
250,35385
252,9103
251,3617
260,35849
261,12256
270,35361
272,9166
271,3578
280,38407
282,8709
281,989
290,40599
292,6728
291,778
301,43454
300,3146
302,1505
310,39804
312,7283
311,1018
320,47732
321,187
322,186
330,47613
332,417
331,75
340,46569
342,768
341,768
350,48105
360,48079
361,26
370,46129
372,988
371,988
380,39151
381,8954
390,48105
400,46121
402,992
401,992
410,48103
412,1
411,1
420,39479
422,8302
421,324
431,3420
441,34597
451,3027
461,3953
471,3497
481,2835
491,8295
501,37036
511,35824
521,35172
531,61
541,8246
